,0
0,1744.7302
1,1745.5491
2,1745.1392
3,1742.9825
4,1738.594
5,1732.4506
6,1725.4822
7,1718.4219
8,1711.4785
9,1705.2295
10,1699.7228
11,1694.7462
12,1689.8439
13,1685.0499
14,1680.6909
15,1676.4081
16,1672.0853
17,1668.3798
18,1665.0319
19,1661.4102
20,1657.0609
21,1652.1061
22,1646.4221
23,1639.9492
