date,company,open,high,low,close,volume
2018-06-28,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2610,2585,2562,2566,380
2018-07-04,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2616,2541,2523,2600,425
2018-07-16,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2611,2595,2595,2610,225
2018-07-17,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2585,2610,2529,2585,495
2018-07-19,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2599,2600,2570,2599,135
2018-07-23,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2601,2550,2515,2601,175
2018-07-26,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2562,2595,2550,2550,194
2018-07-29,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2600,2550,2551,2600,40
2018-07-30,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2621,2600,2570,2590,490
2018-08-01,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2620,2590,2590,2595,350
2018-08-02,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2620,2595,2592,2595,215
2018-08-06,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2483,2499,2465,2472,487
2018-08-07,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2475,2472,2452,2452,862
2018-08-09,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2420,2430,2395,2395,430
2018-08-14,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2365,2335,2300,2365,195
2018-08-20,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2386,2328,2315,2386,390
2018-08-22,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2400,2367,2370,2370,254
2018-08-23,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2400,2370,2350,2400,210
2018-08-29,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2350,2330,2321,2350,170
2018-09-02,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2365,2350,2326,2365,210
2018-09-03,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2410,2365,2362,2362,315
2018-09-05,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2490,2362,2400,2490,170
2018-09-09,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2485,2495,2435,2435,70
2018-09-10,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2401,2435,2371,2375,160
2018-09-11,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2420,2375,2400,2420,815
2018-09-12,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2435,2420,2406,2435,75
2018-09-17,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2430,2470,2425,2426,105
2018-09-27,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2420,2385,2375,2410,701
2018-10-02,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2470,2353,2315,2460,105
2018-10-04,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2365,2365,2360,2365,100
2018-10-09,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2355,2361,2333,2333,253
2018-10-10,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2360,2333,2300,2360,316
2018-10-11,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2407,2360,2360,2407,95
2018-10-14,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2420,2407,2360,2420,185
2018-10-25,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,2372,2372,2372,2372,15
