date,company,open,high,low,close,volume
2010-10-05,NIC Asia Bank Ltd.,520,505,505,510,805
2010-10-06,NIC Asia Bank Ltd.,515,510,510,513,373
2010-10-07,NIC Asia Bank Ltd.,540,513,518,540,672
2010-10-10,NIC Asia Bank Ltd.,540,540,525,525,1804
2010-10-11,NIC Asia Bank Ltd.,537,525,525,535,840
2010-10-12,NIC Asia Bank Ltd.,526,535,525,525,719
2010-10-13,NIC Asia Bank Ltd.,525,525,525,525,100
2010-10-20,NIC Asia Bank Ltd.,535,525,526,535,321
2010-10-21,NIC Asia Bank Ltd.,555,535,530,555,1000
2010-10-24,NIC Asia Bank Ltd.,550,555,545,550,133
2010-10-25,NIC Asia Bank Ltd.,565,550,552,565,300
2010-10-26,NIC Asia Bank Ltd.,569,565,554,554,925
2010-10-28,NIC Asia Bank Ltd.,560,554,549,553,2844
2010-10-31,NIC Asia Bank Ltd.,550,553,545,545,836
2010-11-02,NIC Asia Bank Ltd.,540,540,531,531,807
2010-11-03,NIC Asia Bank Ltd.,550,531,540,550,546
2010-11-09,NIC Asia Bank Ltd.,555,550,555,555,25
2010-11-10,NIC Asia Bank Ltd.,566,555,562,562,1210
2010-11-11,NIC Asia Bank Ltd.,575,562,565,575,1284
2010-11-14,NIC Asia Bank Ltd.,575,575,570,575,867
2010-11-15,NIC Asia Bank Ltd.,577,575,569,574,950
2010-11-16,NIC Asia Bank Ltd.,585,574,575,580,4407
2010-11-18,NIC Asia Bank Ltd.,580,580,569,580,454
2010-11-21,NIC Asia Bank Ltd.,569,580,550,550,701
2010-11-22,NIC Asia Bank Ltd.,551,550,550,550,317
2010-11-23,NIC Asia Bank Ltd.,550,550,545,550,715
2010-11-25,NIC Asia Bank Ltd.,545,550,531,531,602
2010-11-28,NIC Asia Bank Ltd.,540,531,540,540,12
2010-11-29,NIC Asia Bank Ltd.,535,540,530,535,176
2010-11-30,NIC Asia Bank Ltd.,530,535,525,525,153
2010-12-01,NIC Asia Bank Ltd.,525,525,517,517,629
2010-12-02,NIC Asia Bank Ltd.,510,517,500,510,763
2010-12-05,NIC Asia Bank Ltd.,502,510,502,502,291
2010-12-06,NIC Asia Bank Ltd.,510,502,500,505,2602
2010-12-07,NIC Asia Bank Ltd.,514,505,507,514,564
2010-12-08,NIC Asia Bank Ltd.,510,514,500,510,355
2010-12-09,NIC Asia Bank Ltd.,516,510,490,490,1491
2010-12-12,NIC Asia Bank Ltd.,499,490,499,499,88
2010-12-13,NIC Asia Bank Ltd.,490,499,482,484,490
2010-12-14,NIC Asia Bank Ltd.,490,484,480,488,1382
2010-12-15,NIC Asia Bank Ltd.,486,488,480,486,335
2010-12-16,NIC Asia Bank Ltd.,486,486,485,485,100
2010-12-19,NIC Asia Bank Ltd.,494,485,490,494,295
2010-12-20,NIC Asia Bank Ltd.,490,494,490,490,41
2010-12-22,NIC Asia Bank Ltd.,490,490,490,490,105
2010-12-23,NIC Asia Bank Ltd.,508,490,499,508,312
2010-12-26,NIC Asia Bank Ltd.,510,508,500,510,499
2010-12-27,NIC Asia Bank Ltd.,533,510,510,533,2083
2010-12-28,NIC Asia Bank Ltd.,525,533,523,523,257
2010-12-29,NIC Asia Bank Ltd.,520,523,510,520,1013
2011-01-02,NIC Asia Bank Ltd.,510,520,491,500,662
2011-01-03,NIC Asia Bank Ltd.,507,500,500,500,714
2011-01-04,NIC Asia Bank Ltd.,510,500,500,510,1113
2011-01-05,NIC Asia Bank Ltd.,506,510,500,505,1129
2011-01-06,NIC Asia Bank Ltd.,510,505,510,510,95
2011-01-09,NIC Asia Bank Ltd.,510,510,485,505,2852
2011-01-10,NIC Asia Bank Ltd.,510,505,506,510,749
2011-01-11,NIC Asia Bank Ltd.,525,510,510,525,1132
2011-01-12,NIC Asia Bank Ltd.,527,525,510,510,954
2011-01-13,NIC Asia Bank Ltd.,520,510,515,515,348
2011-01-16,NIC Asia Bank Ltd.,530,515,510,525,731
2011-01-17,NIC Asia Bank Ltd.,531,525,521,531,1022
2011-01-18,NIC Asia Bank Ltd.,541,531,530,541,836
2011-01-19,NIC Asia Bank Ltd.,536,541,528,528,1654
2011-01-20,NIC Asia Bank Ltd.,534,528,530,534,1227
2011-01-23,NIC Asia Bank Ltd.,540,534,530,540,441
2011-01-24,NIC Asia Bank Ltd.,545,540,540,545,548
2011-02-01,NIC Asia Bank Ltd.,544,545,540,544,1356
2011-02-02,NIC Asia Bank Ltd.,545,544,538,540,1461
2011-02-03,NIC Asia Bank Ltd.,540,540,533,540,1360
2011-02-06,NIC Asia Bank Ltd.,579,540,545,545,2260
2011-02-07,NIC Asia Bank Ltd.,544,545,538,540,822
2011-02-08,NIC Asia Bank Ltd.,535,540,530,531,302
2011-02-09,NIC Asia Bank Ltd.,535,531,520,530,1029
2011-02-10,NIC Asia Bank Ltd.,530,530,522,525,298
2011-02-13,NIC Asia Bank Ltd.,538,525,526,526,677
2011-02-14,NIC Asia Bank Ltd.,530,526,523,523,739
2011-02-15,NIC Asia Bank Ltd.,535,523,525,526,681
2011-02-16,NIC Asia Bank Ltd.,536,526,525,536,606
2011-02-17,NIC Asia Bank Ltd.,531,536,528,530,1086
2011-02-20,NIC Asia Bank Ltd.,530,530,528,528,152
2011-02-21,NIC Asia Bank Ltd.,527,528,520,521,575
2011-02-22,NIC Asia Bank Ltd.,530,521,525,530,304
2011-02-23,NIC Asia Bank Ltd.,525,530,525,525,250
2011-02-24,NIC Asia Bank Ltd.,530,525,522,522,382
2011-02-27,NIC Asia Bank Ltd.,525,522,518,518,242
2011-02-28,NIC Asia Bank Ltd.,515,518,502,510,1162
2011-03-01,NIC Asia Bank Ltd.,525,510,500,525,1060
2011-03-03,NIC Asia Bank Ltd.,535,525,526,528,1496
2011-03-07,NIC Asia Bank Ltd.,535,528,520,520,1352
2011-03-09,NIC Asia Bank Ltd.,521,520,513,513,1071
2011-03-10,NIC Asia Bank Ltd.,513,513,505,505,792
2011-03-13,NIC Asia Bank Ltd.,508,505,500,508,837
2011-03-14,NIC Asia Bank Ltd.,505,508,502,502,194
2011-03-15,NIC Asia Bank Ltd.,501,502,491,493,1829
2011-03-16,NIC Asia Bank Ltd.,500,493,492,500,589
2011-03-17,NIC Asia Bank Ltd.,510,500,500,505,4565
2011-03-20,NIC Asia Bank Ltd.,508,505,495,508,434
2011-03-21,NIC Asia Bank Ltd.,508,508,500,500,711
2011-03-22,NIC Asia Bank Ltd.,505,500,490,501,547
2011-03-23,NIC Asia Bank Ltd.,500,501,500,500,36
2011-03-24,NIC Asia Bank Ltd.,508,500,492,492,245
2011-03-27,NIC Asia Bank Ltd.,493,492,483,483,1658
2011-03-28,NIC Asia Bank Ltd.,485,483,460,460,798
2011-03-29,NIC Asia Bank Ltd.,455,460,445,450,1917
2011-03-30,NIC Asia Bank Ltd.,465,450,441,465,3578
2011-03-31,NIC Asia Bank Ltd.,489,465,471,481,1422
2011-04-04,NIC Asia Bank Ltd.,490,481,476,480,361
2011-04-05,NIC Asia Bank Ltd.,480,480,480,480,23
2011-04-06,NIC Asia Bank Ltd.,485,480,477,485,184
2011-04-07,NIC Asia Bank Ltd.,495,485,471,471,2182
2011-04-10,NIC Asia Bank Ltd.,478,471,474,475,220
2011-04-11,NIC Asia Bank Ltd.,471,475,470,470,784
2011-04-13,NIC Asia Bank Ltd.,470,470,470,470,201
2011-04-17,NIC Asia Bank Ltd.,468,470,460,461,230
2011-04-18,NIC Asia Bank Ltd.,460,461,453,455,974
2011-04-19,NIC Asia Bank Ltd.,462,455,455,457,1501
2011-04-20,NIC Asia Bank Ltd.,459,457,450,452,997
2011-04-21,NIC Asia Bank Ltd.,461,452,447,452,966
2011-04-25,NIC Asia Bank Ltd.,461,452,447,452,653
2011-04-27,NIC Asia Bank Ltd.,451,452,440,451,2012
2011-04-28,NIC Asia Bank Ltd.,450,451,427,440,1140
2011-05-02,NIC Asia Bank Ltd.,437,440,430,435,406
2011-05-03,NIC Asia Bank Ltd.,427,435,412,416,1600
2011-05-04,NIC Asia Bank Ltd.,423,416,415,423,566
2011-05-05,NIC Asia Bank Ltd.,431,423,428,428,151
2011-05-08,NIC Asia Bank Ltd.,443,428,435,440,656
2011-05-09,NIC Asia Bank Ltd.,448,440,448,448,180
2011-05-10,NIC Asia Bank Ltd.,456,448,440,451,2172
2011-05-11,NIC Asia Bank Ltd.,470,451,452,452,1207
2011-05-12,NIC Asia Bank Ltd.,469,452,461,465,155
2011-05-15,NIC Asia Bank Ltd.,479,465,470,473,449
2011-05-16,NIC Asia Bank Ltd.,470,473,465,465,308
2011-05-18,NIC Asia Bank Ltd.,462,465,451,455,945
2011-05-19,NIC Asia Bank Ltd.,455,455,439,447,824
2011-05-22,NIC Asia Bank Ltd.,450,447,447,448,72
2011-05-24,NIC Asia Bank Ltd.,462,448,456,462,64
2011-05-25,NIC Asia Bank Ltd.,455,462,446,448,1720
2011-05-26,NIC Asia Bank Ltd.,456,448,450,455,702
2011-05-30,NIC Asia Bank Ltd.,454,455,450,453,1072
2011-05-31,NIC Asia Bank Ltd.,455,453,450,450,1073
2011-06-01,NIC Asia Bank Ltd.,452,450,452,452,20
2011-06-02,NIC Asia Bank Ltd.,443,452,435,440,505
2011-06-05,NIC Asia Bank Ltd.,440,440,425,428,1381
2011-06-06,NIC Asia Bank Ltd.,429,428,419,420,997
2011-06-07,NIC Asia Bank Ltd.,427,420,404,415,582
2011-06-08,NIC Asia Bank Ltd.,407,415,395,395,1969
2011-06-09,NIC Asia Bank Ltd.,388,395,380,387,1411
2011-06-12,NIC Asia Bank Ltd.,386,387,385,386,470
2011-06-13,NIC Asia Bank Ltd.,380,386,370,380,2643
2011-06-14,NIC Asia Bank Ltd.,375,380,368,370,1409
2011-06-15,NIC Asia Bank Ltd.,370,370,344,352,2987
2011-06-16,NIC Asia Bank Ltd.,388,352,352,388,4512
2011-06-19,NIC Asia Bank Ltd.,426,388,395,426,83
2011-06-20,NIC Asia Bank Ltd.,468,426,434,468,2790
2011-06-21,NIC Asia Bank Ltd.,514,468,477,514,5156
2011-06-23,NIC Asia Bank Ltd.,565,514,524,565,6475
2011-06-26,NIC Asia Bank Ltd.,621,565,509,509,5899
2011-06-27,NIC Asia Bank Ltd.,499,509,499,499,318
2011-06-29,NIC Asia Bank Ltd.,490,499,450,475,4210
2011-06-30,NIC Asia Bank Ltd.,479,475,445,455,3196
2011-07-03,NIC Asia Bank Ltd.,459,455,441,449,2318
2011-07-04,NIC Asia Bank Ltd.,473,449,448,465,1900
2011-07-05,NIC Asia Bank Ltd.,481,465,470,479,2417
2011-07-06,NIC Asia Bank Ltd.,525,479,470,495,4502
2011-07-07,NIC Asia Bank Ltd.,495,495,459,477,1542
2011-07-10,NIC Asia Bank Ltd.,499,477,481,490,3937
2011-07-11,NIC Asia Bank Ltd.,504,490,477,500,4597
2011-07-12,NIC Asia Bank Ltd.,511,500,490,496,3028
2011-07-13,NIC Asia Bank Ltd.,545,496,505,512,2151
2011-07-14,NIC Asia Bank Ltd.,526,512,516,520,3244
2011-07-18,NIC Asia Bank Ltd.,570,520,510,520,9822
2011-07-19,NIC Asia Bank Ltd.,548,520,530,540,5009
2011-07-20,NIC Asia Bank Ltd.,576,540,546,570,6153
2011-07-21,NIC Asia Bank Ltd.,580,570,559,570,4340
2011-07-24,NIC Asia Bank Ltd.,559,570,529,540,1428
2011-07-25,NIC Asia Bank Ltd.,535,540,524,535,1310
2011-07-26,NIC Asia Bank Ltd.,540,535,524,525,1101
2011-07-27,NIC Asia Bank Ltd.,555,525,519,555,2360
2011-07-28,NIC Asia Bank Ltd.,566,555,535,542,2716
2011-07-31,NIC Asia Bank Ltd.,535,542,519,525,2928
2011-08-01,NIC Asia Bank Ltd.,535,525,525,535,510
2011-08-02,NIC Asia Bank Ltd.,543,535,530,539,223
2011-08-03,NIC Asia Bank Ltd.,531,539,520,527,1192
2011-08-04,NIC Asia Bank Ltd.,529,527,520,527,1473
2011-08-07,NIC Asia Bank Ltd.,527,527,520,521,2776
2011-08-08,NIC Asia Bank Ltd.,517,521,513,514,857
2011-08-09,NIC Asia Bank Ltd.,510,514,500,510,2048
2011-08-10,NIC Asia Bank Ltd.,530,510,502,530,2127
2011-08-11,NIC Asia Bank Ltd.,531,530,521,528,3832
2011-08-15,NIC Asia Bank Ltd.,540,528,530,532,1270
2011-08-16,NIC Asia Bank Ltd.,546,532,525,525,1038
2011-08-17,NIC Asia Bank Ltd.,530,525,515,530,2332
2011-08-18,NIC Asia Bank Ltd.,540,530,525,530,3045
2011-08-22,NIC Asia Bank Ltd.,530,530,523,530,551
2011-08-23,NIC Asia Bank Ltd.,530,530,525,530,395
2011-08-24,NIC Asia Bank Ltd.,533,530,525,530,2846
2011-08-25,NIC Asia Bank Ltd.,530,530,526,529,1100
2011-08-28,NIC Asia Bank Ltd.,528,529,500,515,1525
2011-08-29,NIC Asia Bank Ltd.,524,515,508,524,1030
2011-08-30,NIC Asia Bank Ltd.,534,524,520,520,1239
2011-09-01,NIC Asia Bank Ltd.,528,520,518,521,1575
2011-09-04,NIC Asia Bank Ltd.,523,521,516,520,1180
2011-09-05,NIC Asia Bank Ltd.,517,520,513,515,620
2011-09-06,NIC Asia Bank Ltd.,510,515,503,503,2902
2011-09-07,NIC Asia Bank Ltd.,505,503,490,493,6371
2011-09-08,NIC Asia Bank Ltd.,492,493,470,476,2103
2011-09-12,NIC Asia Bank Ltd.,472,476,462,470,2640
2011-09-13,NIC Asia Bank Ltd.,470,470,460,464,2253
2011-09-14,NIC Asia Bank Ltd.,465,464,457,457,1970
2011-09-15,NIC Asia Bank Ltd.,460,457,455,460,289
2011-09-18,NIC Asia Bank Ltd.,460,460,457,457,1443
2011-09-19,NIC Asia Bank Ltd.,459,457,451,455,2140
2011-09-20,NIC Asia Bank Ltd.,465,455,450,456,5236
2011-09-21,NIC Asia Bank Ltd.,467,456,460,467,506
2011-09-22,NIC Asia Bank Ltd.,494,467,470,493,1407
2011-09-25,NIC Asia Bank Ltd.,503,493,493,502,2673
2011-09-26,NIC Asia Bank Ltd.,503,502,486,490,3344
2011-09-27,NIC Asia Bank Ltd.,484,490,484,484,138
2011-09-29,NIC Asia Bank Ltd.,512,484,486,486,460
2011-10-02,NIC Asia Bank Ltd.,495,486,495,495,50
2011-10-09,NIC Asia Bank Ltd.,503,495,503,503,39
2011-10-10,NIC Asia Bank Ltd.,500,503,493,499,424
2011-10-12,NIC Asia Bank Ltd.,510,499,495,502,1419
2011-10-13,NIC Asia Bank Ltd.,512,502,502,503,1630
2011-10-16,NIC Asia Bank Ltd.,493,503,453,453,1669
2011-10-17,NIC Asia Bank Ltd.,448,453,422,436,6156
2011-10-18,NIC Asia Bank Ltd.,442,436,431,441,1876
2011-10-19,NIC Asia Bank Ltd.,444,441,438,440,949
2011-10-20,NIC Asia Bank Ltd.,435,440,420,427,4416
2011-10-23,NIC Asia Bank Ltd.,430,427,414,422,5116
2011-10-24,NIC Asia Bank Ltd.,419,422,414,419,4261
2011-10-25,NIC Asia Bank Ltd.,422,419,416,422,372
2011-10-30,NIC Asia Bank Ltd.,430,422,425,425,808
2011-10-31,NIC Asia Bank Ltd.,438,425,433,438,180
2011-11-02,NIC Asia Bank Ltd.,481,438,446,481,850
2011-11-03,NIC Asia Bank Ltd.,518,481,450,456,4265
2011-11-06,NIC Asia Bank Ltd.,460,456,450,456,4762
2011-11-08,NIC Asia Bank Ltd.,461,456,450,450,530
2011-11-09,NIC Asia Bank Ltd.,446,450,432,432,1565
2011-11-10,NIC Asia Bank Ltd.,440,432,435,436,1796
2011-11-13,NIC Asia Bank Ltd.,436,436,425,427,2631
2011-11-14,NIC Asia Bank Ltd.,430,427,425,430,709
2011-11-15,NIC Asia Bank Ltd.,432,430,424,426,1360
2011-11-16,NIC Asia Bank Ltd.,430,426,427,429,165
2011-11-17,NIC Asia Bank Ltd.,439,429,429,435,1346
2011-11-20,NIC Asia Bank Ltd.,432,435,425,427,1471
2011-11-21,NIC Asia Bank Ltd.,431,427,420,431,846
2011-11-22,NIC Asia Bank Ltd.,428,431,423,425,1099
2011-11-23,NIC Asia Bank Ltd.,428,425,423,426,2872
2011-11-24,NIC Asia Bank Ltd.,429,426,422,422,1215
2011-11-27,NIC Asia Bank Ltd.,428,422,420,428,1119
2011-11-28,NIC Asia Bank Ltd.,428,428,422,422,3002
2011-11-29,NIC Asia Bank Ltd.,422,422,414,414,376
2011-11-30,NIC Asia Bank Ltd.,408,414,401,401,513
2011-12-01,NIC Asia Bank Ltd.,401,401,401,401,52
2011-12-04,NIC Asia Bank Ltd.,400,401,400,400,228
2011-12-05,NIC Asia Bank Ltd.,404,400,398,404,712
2011-12-06,NIC Asia Bank Ltd.,401,404,395,398,1703
2011-12-07,NIC Asia Bank Ltd.,399,398,392,399,1094
2011-12-08,NIC Asia Bank Ltd.,400,399,396,400,130
2011-12-11,NIC Asia Bank Ltd.,399,400,399,399,24
2011-12-12,NIC Asia Bank Ltd.,393,399,385,385,680
2011-12-13,NIC Asia Bank Ltd.,388,385,385,388,231
2011-12-14,NIC Asia Bank Ltd.,397,388,395,397,112
2011-12-15,NIC Asia Bank Ltd.,400,397,395,395,995
2011-12-18,NIC Asia Bank Ltd.,395,395,395,395,98
2011-12-20,NIC Asia Bank Ltd.,400,395,395,395,234
2011-12-21,NIC Asia Bank Ltd.,405,395,394,394,2901
2011-12-22,NIC Asia Bank Ltd.,395,394,395,395,2500
