date,company,open,high,low,close,volume
2014-10-16,Infrastructure Development Bank Ltd.,183,182,170,176,639
2014-10-19,Infrastructure Development Bank Ltd.,173,176,171,172,839
2014-10-22,Infrastructure Development Bank Ltd.,178,175,172,172,174
2014-10-21,Infrastructure Development Bank Ltd.,180,182,175,175,776
2014-10-27,Infrastructure Development Bank Ltd.,170,169,167,167,2513
2014-10-26,Infrastructure Development Bank Ltd.,169,172,169,169,1293
2014-10-28,Infrastructure Development Bank Ltd.,170,167,163,170,257
2014-11-02,Infrastructure Development Bank Ltd.,175,178,166,169,3422
2014-10-30,Infrastructure Development Bank Ltd.,180,170,170,178,7515
2014-11-11,Infrastructure Development Bank Ltd.,166,165,159,164,4725
2014-11-03,Infrastructure Development Bank Ltd.,170,169,165,165,5971
2014-11-05,Infrastructure Development Bank Ltd.,172,157,159,172,7061
2014-11-06,Infrastructure Development Bank Ltd.,170,172,165,166,815
2014-11-10,Infrastructure Development Bank Ltd.,167,170,161,165,1219
2014-11-04,Infrastructure Development Bank Ltd.,162,165,157,157,693
2014-11-09,Infrastructure Development Bank Ltd.,170,166,167,170,2913
2014-11-16,Infrastructure Development Bank Ltd.,170,167,164,164,1940
2014-11-12,Infrastructure Development Bank Ltd.,165,164,161,161,5985
2014-11-13,Infrastructure Development Bank Ltd.,167,161,164,167,2761
2014-11-19,Infrastructure Development Bank Ltd.,159,155,154,159,1935
2014-11-18,Infrastructure Development Bank Ltd.,160,160,154,155,5384
2014-11-17,Infrastructure Development Bank Ltd.,169,164,160,160,2768
2014-11-20,Infrastructure Development Bank Ltd.,162,159,158,161,701
2014-11-23,Infrastructure Development Bank Ltd.,161,161,160,160,224
2014-11-30,Infrastructure Development Bank Ltd.,164,162,151,151,1994
2014-11-24,Infrastructure Development Bank Ltd.,163,160,150,150,2187
2014-11-25,Infrastructure Development Bank Ltd.,162,150,153,162,244
2014-12-03,Infrastructure Development Bank Ltd.,156,151,152,153,5229
2014-12-01,Infrastructure Development Bank Ltd.,155,151,152,153,852
2014-12-02,Infrastructure Development Bank Ltd.,151,153,149,151,853
2014-12-07,Infrastructure Development Bank Ltd.,158,160,155,155,3103
2014-12-09,Infrastructure Development Bank Ltd.,158,158,157,158,412
2014-12-08,Infrastructure Development Bank Ltd.,158,155,152,158,1165
2014-12-04,Infrastructure Development Bank Ltd.,164,153,151,160,1651
2014-12-10,Infrastructure Development Bank Ltd.,161,158,158,158,1549
2014-12-16,Infrastructure Development Bank Ltd.,170,172,166,166,590
2014-12-14,Infrastructure Development Bank Ltd.,172,160,155,172,6307
2014-12-15,Infrastructure Development Bank Ltd.,178,172,160,172,6135
2014-12-11,Infrastructure Development Bank Ltd.,165,158,160,160,1647
2014-12-22,Infrastructure Development Bank Ltd.,167,165,161,163,1586
2014-12-17,Infrastructure Development Bank Ltd.,171,166,163,165,1610
2014-12-18,Infrastructure Development Bank Ltd.,165,165,156,165,1996
2014-12-28,Infrastructure Development Bank Ltd.,166,163,160,166,5602
2014-12-24,Infrastructure Development Bank Ltd.,163,162,159,163,817
2014-12-23,Infrastructure Development Bank Ltd.,162,163,158,162,3002
2014-12-29,Infrastructure Development Bank Ltd.,167,166,164,165,6311
2015-01-05,Infrastructure Development Bank Ltd.,167,165,165,165,2857
2014-12-31,Infrastructure Development Bank Ltd.,164,165,162,164,3724
2015-01-04,Infrastructure Development Bank Ltd.,168,165,164,165,3404
2015-01-01,Infrastructure Development Bank Ltd.,166,164,161,165,1388
2015-01-01,Infrastructure Development Bank Ltd.,166,164,161,165,1388
2015-01-12,Infrastructure Development Bank Ltd.,171,168,166,169,1368
2015-01-06,Infrastructure Development Bank Ltd.,165,165,163,165,63
2015-01-07,Infrastructure Development Bank Ltd.,168,165,162,168,2574
2015-01-08,Infrastructure Development Bank Ltd.,172,168,166,166,1195
2015-01-19,Infrastructure Development Bank Ltd.,196,187,185,188,6443
2015-01-11,Infrastructure Development Bank Ltd.,169,166,166,168,424
2015-01-13,Infrastructure Development Bank Ltd.,167,169,163,163,586
2015-01-14,Infrastructure Development Bank Ltd.,175,163,166,175,523
2015-01-18,Infrastructure Development Bank Ltd.,190,175,173,187,7921
2015-01-20,Infrastructure Development Bank Ltd.,188,188,176,176,5523
2015-01-25,Infrastructure Development Bank Ltd.,189,176,170,189,8694
2015-01-22,Infrastructure Development Bank Ltd.,178,176,172,176,6552
2015-01-26,Infrastructure Development Bank Ltd.,195,189,186,186,15180
2015-01-28,Infrastructure Development Bank Ltd.,200,191,189,199,16636
